"employeeid","name","surname","email","phonenumber","hiredate","salary","departmentid","isactive","jobtitle","state"
44,"Nitin","Jain","nitin.jain@example.com","9953656832","2024-03-22","61000.00",3,True,"Financial Planner","india"
45,"Rajesh","Sharma","rajesh.sharma@example.com","9902171931","2024-03-23","60000.00",1,True,"Software Engineer","india"
47,"Sandeep","Singh","sandeep.singh@example.com","9964421883","2024-03-25","50000.00",4,True,"HR Manager","india"
48,"Anjali","Iyer","anjali.iyer@example.com","9971243545","2024-03-26","65000.00",2,True,"Marketing Executive","india"
49,"Amit","Gupta","amit.gupta@example.com","9923352421","2024-03-27","80000.00",1,True,"Project Manager","india"
50,"Sneha","Kapoor","sneha.kapoor@example.com","9983998452","2024-03-28","55000.00",2,True,"Business Analyst","india"
53,"Nisha","Rao","nisha.rao@example.com","9899451196","2024-03-31","45000.00",2,True,"Software Tester","india"
55,"Arjun","Nair","arjun.nair@example.com","9972449371","2024-04-02","60000.00",2,True,"System Administrator","india"
56,"Vikas","Patel","vikas.patel@example.com","9963101255","2024-04-03","75000.00",1,True,"Senior Software Engineer","india"
23,"Nisha","Kulkarni","nisha.kulkarni@example.com","9877326636","2024-03-01","41000.00",0,False,"Content Writer","usa"
31,"Deepak","Reddy","deepak.reddy@example.com","9909167462","2024-03-09","54000.00",0,False,"Marketing Manager","usa"
51,"Kiran","Desai","kiran.desai@example.com","9902731808","2024-03-29","40000.00",0,False,"Graphic Designer","usa"
52,"Ravi","Joshi","ravi.joshi@example.com","9938767876","2024-03-30","68000.00",0,False,"Network Administrator","usa"
10,"Priya","Singh","priya.singh@example.com","9914549655","2024-02-17","108000.00",0,False,"Financial Analyst","usa"
13,"Ankit","Chawla","ankit.chawla@example.com","9926373436","2024-02-20","135000.00",0,False,"Business Analyst","usa"
18,"Divya","Agarwal","divya.agarwal@example.com","9891977320","2024-02-25","88200.00",0,False,"Data Analyst","usa"
46,"Priya","Verma","priya.verma@example.com","9978520700","2024-03-24","129600.00",0,False,"Data Analyst","usa"
54,"Pooja","Mehta","pooja.mehta@example.com","9966275037","2024-04-01","95400.00",0,False,"Financial Analyst","usa"
